Timestamp,Original,Final,Latency (ms),Tone Mode
2025-11-28 04:27:30,I want to go to this total model.,I want to go to this total model.,1500,formal
2025-11-28 04:27:38,Hello.,Hello.,1500,formal
2025-11-28 04:29:25,"Yes, beautiful. I wanna go to this store.","Yes, beautiful. I want to go to this store.",35,formal
2025-11-28 04:29:34,I have to click for one.,I would like to have to click for one.,3,formal
2025-11-28 04:30:30,"Hello, my name is Mokkul-Trasad. Hello, who is Mepdi?","Hey, hello, my name is mokkul-trasad. Hello, who is mepdi.",5,casual
2025-11-28 04:30:40,"Hello, hello my name is Mughal Drosati I served in the Mayak.","Hey, hello, hello my name is mughal drosati I served in the mayak.",2,casual
2025-11-28 04:45:34,You would have to go and pay for one.,"You would have to go, and pay for one.",23,formal
2025-11-28 04:46:12,"So, you would have to go and pay for one.","So, you would have to go, and pay for one.",3,formal
2025-11-28 04:52:47,"Hey, I have to go to this store tomorrow.","Hello, I have to go to this store tomorrow.",22,neutral
2025-11-28 04:52:59,"Deowed, high-cond-missed, disclass.","Deowed, high-cond-missed, disclass.",4,formal
2025-11-28 04:53:08,"Dude, I can't miss this class.",", I cannot miss this class.",2,formal
2025-11-28 04:56:16,I have to attend this test.,I would like to have to attend this test.,25,formal
2025-11-28 04:57:14,I would have to attend this test.,I would have to attend this test.,4,formal
2025-11-28 05:00:42,I have gotten this class.,I would like to have gotten this class.,68,formal
2025-11-28 05:01:00,"Dude, I wanna go and play football.",", I want to go and play football.",3,formal
2025-11-28 05:01:16,I don't want to play football.,I do not want to play football.,4,formal
2025-11-28 05:01:26,"Dude, I wanna play football.","Hey, , I wanna play football.",4,casual
2025-11-28 05:01:52,"Hello, my name is Mukal Prasad and PR testing our system in here.","Hello, my name is mukal prasad, and pr testing our system in here.",5,soft
2025-11-28 05:02:18,"I know my name is Moutheme Azog, I'm the other making me help.","I know my name is moutheme azog, I'm the other making me help!",4,soft
2025-11-28 05:05:05,"You bro, I want to go to the park and go for round.","You bro, I want to go to the park, and go for round.",3,formal
